orig.ident	nCount_RNA	nFeature_RNA	n_genes	percent_mito	n_counts	louvain	percent.mt	RNA_snn_res.1	seurat_clusters
SeuratProject	802.673794984818	794	835	0.0366172641515732	2294	CD4 T cells	2.49461019711819	0	0
SeuratProject	1151.93616175652	1158	1237	0.0165191739797592	3390	CD4 T cells	1.45882271023103	0	0
SeuratProject	831.596846342087	797	843	0.0265420563519001	2675	CD4 T cells	2.27058192807915	7	7
SeuratProject	804.530374646187	780	825	0.0252616386860609	2771	CD4 T cells	1.9719204823654	1	1
SeuratProject	732.459311246872	731	764	0.013005780056119	2076	CD4 T cells	1.56624448888561	1	1
SeuratProject	756.451989293098	759	789	0.01513671875	2048	CD4 T cells	1.60687005301867	0	0
SeuratProject	863.065086007118	821	868	0.021989906206727	2774	CD4 T cells	1.93983302442741	0	0
SeuratProject	816.212161779404	762	803	0.0268667135387659	2866	CD4 T cells	1.69896437866705	7	7
SeuratProject	951.395394206047	910	963	0.0140748368576169	2913	CD4 T cells	1.44571709400003	0	0
SeuratProject	795.163617968559	762	799	0.0219824146479368	2502	CD4 T cells	1.95052658980617	0	0
SeuratProject	607.855303525925	658	690	0.0277392510324717	1442	CD4 T cells	1.88730830004914	0	0
SeuratProject	887.703813314438	855	906	0.0244680847972631	2820	CD4 T cells	1.75570563900799	1	1
SeuratProject	598.290546059608	594	620	0.0246246252208948	1665	CD4 T cells	2.37826655254548	0	0
SeuratProject	790.541151762009	822	866	0.0124223604798317	1932	CD4 T cells	1.29370985019025	0	0
SeuratProject	899.002330303192	867	914	0.0149617260321975	2874	CD4 T cells	1.62330914492507	1	1
SeuratProject	748.293594479561	756	789	0.00999048538506031	2102	CD4 T cells	1.21617043972154	0	0
SeuratProject	666.3279722929	650	674	0.0219957083463669	1864	CD4 T cells	2.0818980458902	1	1
SeuratProject	356.396382808685	380	397	0.0141025641933084	780	CD4 T cells	1.40591645080368	1	1
SeuratProject	765.337191939354	742	785	0.0125324111431837	2314	CD4 T cells	1.46774673370811	1	1
SeuratProject	681.914488911629	664	700	0.0170051958411932	2117	CD4 T cells	1.76023829584145	1	1
SeuratProject	861.450323700905	851	898	0.0230024214833975	2478	CD4 T cells	1.7656007414026	1	1
SeuratProject	817.615344405174	781	819	0.0144717795774341	2764	CD4 T cells	1.48442068679126	1	1
SeuratProject	752.269601345062	745	790	0.0109004741534591	2110	CD4 T cells	1.13700358402134	1	1
SeuratProject	417.760960221291	455	477	0.0352422893047333	908	CD4 T cells	2.41616100575551	4	4
SeuratProject	701.917703986168	735	768	0.0178870875388384	1789	CD4 T cells	1.71452754283812	0	0
SeuratProject	876.517506718636	824	866	0.0159693397581577	3131	CD4 T cells	1.67111940873764	1	1
SeuratProject	658.344316959381	619	648	0.0391006842255592	2046	CD4 T cells	2.8840522593092	1	1
SeuratProject	829.218849420547	796	830	0.0390413589775562	2587	CD4 T cells	2.33763047665113	1	1
SeuratProject	371.955061793327	371	387	0.00827300921082497	967	CD4 T cells	1.14978033738239	1	1
SeuratProject	920.743672013283	872	933	0.0184558592736721	3251	CD4 T cells	1.89359636922729	0	0
SeuratProject	573.984608411789	573	604	0.0242941565811634	1523	CD4 T cells	2.30642860197907	1	1
SeuratProject	1000.87377476692	958	1007	0.0184085518121719	3368	CD4 T cells	1.66566207489299	7	7
SeuratProject	958.859909892082	929	980	0.0237659960985184	3282	CD4 T cells	1.96541828494091	1	1
SeuratProject	1003.14877450466	976	1030	0.0294117648154497	3264	CD4 T cells	2.24074997899278	7	7
SeuratProject	876.475083112717	832	886	0.0235592611134052	2759	CD4 T cells	2.11169301910687	0	0
SeuratProject	573.311408877373	564	601	0.0130922691896558	1604	CD4 T cells	1.67011914441943	1	1
SeuratProject	1030.88257431984	1027	1118	0.015714718028903	3309	CD4 T cells	1.46045950845572	1	1
SeuratProject	752.942265272141	721	776	0.0254098363220692	2440	CD4 T cells	2.0421680622973	1	1
SeuratProject	691.656981945038	705	743	0.0195353757590055	1894	CD4 T cells	1.68691570453432	7	7
SeuratProject	848.434100151062	822	857	0.0197597835212946	2581	CD4 T cells	1.73135167722893	0	0
SeuratProject	765.920337319374	765	804	0.00838379096239805	2147	CD4 T cells	1.02461864534796	0	0
SeuratProject	713.892838478088	687	715	0.0160329826176167	2183	CD4 T cells	1.87383749237582	1	1
SeuratProject	782.658228039742	775	803	0.0199185144156218	2209	CD4 T cells	1.72688327054787	0	0
SeuratProject	753.102970719337	751	782	0.0266106445342302	2142	CD4 T cells	1.28162349805623	1	1
SeuratProject	929.926552653313	918	978	0.00557925831526518	3047	CD4 T cells	0.665236271329686	1	1
SeuratProject	930.22914659977	864	909	0.0165612772107124	3321	CD4 T cells	1.50501300345178	0	0
SeuratProject	911.315263748169	892	935	0.0197224244475365	2738	CD4 T cells	1.43343621108897	0	0
SeuratProject	937.39152777195	919	960	0.0172155685722828	2672	CD4 T cells	1.58231417296317	0	0
SeuratProject	780.448182225227	759	798	0.0116822430863976	2568	CD4 T cells	1.53641171457028	1	1
SeuratProject	1085.94835650921	1057	1110	0.00923520885407925	3465	CD4 T cells	1.13517087416102	0	0
SeuratProject	626.342553138733	595	624	0.0247892905026674	2017	CD4 T cells	2.29439532682061	1	1
SeuratProject	757.73311650753	747	778	0.0180608369410038	2104	CD4 T cells	1.7365616325949	0	0
SeuratProject	368.713345170021	397	431	0.0443505793809891	947	CD4 T cells	3.93710349532113	1	1
SeuratProject	818.114848732948	801	849	0.0146804833784699	2316	CD4 T cells	1.43395346055157	0	0
SeuratProject	618.390002608299	646	680	0.0157583709806204	1523	CD4 T cells	1.44053972664035	1	1
SeuratProject	771.67636847496	771	797	0.0313523635268211	2137	CD4 T cells	2.22318400063389	4	4
SeuratProject	754.65031015873	790	830	0.0100959111005068	1981	CD4 T cells	1.1769472952935	1	1
SeuratProject	846.665074586868	809	846	0.0102676935493946	2727	CD4 T cells	1.18342773253596	1	1
SeuratProject	432.092645049095	463	488	0.0228174608200788	1008	CD4 T cells	2.17560521433883	1	1
SeuratProject	393.434324145317	400	418	0.0228452757000923	963	CD4 T cells	2.54915196884846	1	1
SeuratProject	750.468549609184	744	791	0.0120092378929257	2165	CD4 T cells	1.37848439153786	1	1
SeuratProject	739.045800328255	735	769	0.0117302052676678	2046	CD4 T cells	1.20179783315083	1	1
SeuratProject	924.058950066566	901	955	0.0161516852676868	2848	CD4 T cells	1.44372002741126	1	1
SeuratProject	663.515538215637	635	679	0.0141911068931222	2114	CD4 T cells	1.74794018609673	1	1
SeuratProject	534.798063874245	511	524	0.0322580635547638	1457	CD4 T cells	2.56331309147736	0	0
SeuratProject	880.829813718796	860	904	0.0122549021616578	2856	CD4 T cells	1.40735045871805	1	1
SeuratProject	480.449160218239	487	505	0.017006803303957	1176	CD4 T cells	1.69002194858876	1	1
SeuratProject	823.009603857994	807	849	0.0162055343389511	2530	CD4 T cells	1.54956119502321	1	1
SeuratProject	736.587604641914	753	793	0.0237493682652712	1979	CD4 T cells	2.05721665635636	0	0
SeuratProject	719.211306333542	715	747	0.0358565747737885	2008	CD4 T cells	2.60627153879471	0	0
SeuratProject	891.047607660294	892	951	0.0147917475551367	2569	CD4 T cells	1.57907823603262	1	1
SeuratProject	795.561692714691	787	827	0.00900163687765598	2444	CD4 T cells	1.12453565513704	7	7
SeuratProject	972.557988405228	919	969	0.0190336741507053	3415	CD4 T cells	1.91718508475887	0	0
SeuratProject	1012.40207266808	1041	1109	0.0077519379556179	2709	CD4 T cells	0.649865450396479	0	0
SeuratProject	625.966712832451	618	648	0.0200364291667938	1647	CD4 T cells	1.93439686782836	1	1
SeuratProject	987.558492779732	965	1022	0.0110924374312162	2975	CD4 T cells	1.25525348772042	0	0
SeuratProject	362.669938921928	366	390	0.0243337191641331	863	CD4 T cells	2.88153254686431	1	1
SeuratProject	799.532560586929	793	836	0.0188442207872868	2388	CD4 T cells	1.6990661204313	0	0
SeuratProject	820.776034712791	794	840	0.0044088177382946	2495	CD4 T cells	0.809452211959845	1	1
SeuratProject	724.921112298965	719	747	0.00741770956665277	2157	CD4 T cells	1.05913091336529	1	1
SeuratProject	683.116833686829	705	735	0.022003473713994	1727	CD4 T cells	1.72265608750587	0	0
SeuratProject	738.065455675125	760	795	0.0154958674684167	1936	CD4 T cells	1.55434772180739	0	0
SeuratProject	858.060766935349	844	894	0.010721649043262	2425	CD4 T cells	1.05635385185744	0	0
SeuratProject	669.954092621803	664	686	0.0257126893848181	1789	CD4 T cells	2.0687908004057	0	0
SeuratProject	590.462203383446	573	601	0.0229306481778622	1788	CD4 T cells	1.83377472218716	0	0
SeuratProject	337.810419559479	344	354	0.0100628929212689	795	CD4 T cells	1.2120243719171	1	1
SeuratProject	722.575926303864	687	736	0.0272255837917328	2314	CD4 T cells	2.29924171872807	1	1
SeuratProject	867.818650722504	846	888	0.0250181294977665	2758	CD4 T cells	2.05791648116659	0	0
SeuratProject	997.459689021111	976	1033	0.0239187423139811	3052	CD4 T cells	1.87285393535365	0	0
SeuratProject	774.442499041557	766	818	0.0204899776726961	2245	CD4 T cells	1.92987957074622	0	0
SeuratProject	921.967012524605	930	977	0.0182370822876692	2632	CD4 T cells	1.6285615802499	0	0
SeuratProject	582.949103713036	598	632	0.0342465750873089	1606	CD4 T cells	2.86982154916543	4	4
SeuratProject	713.602767705917	702	741	0.0088660754263401	2143	CD4 T cells	1.09753136583955	1	1
SeuratProject	503.360777854919	538	560	0.0226860251277685	1102	CD4 T cells	2.29439104998347	0	0
SeuratProject	815.137234330177	800	844	0.0205592103302479	2432	CD4 T cells	1.86436362577687	1	1
SeuratProject	790.685684084892	773	815	0.0270384456962347	2367	CD4 T cells	2.33793761681816	1	1
SeuratProject	735.316178560257	712	768	0.0231267344206572	2162	CD4 T cells	2.00068630875449	1	1
SeuratProject	973.781814336777	961	1012	0.0182529333978891	3068	CD4 T cells	1.80501386736833	0	0
SeuratProject	886.486236810684	889	926	0.0251256283372641	2388	CD4 T cells	1.97812777791457	0	0
SeuratProject	772.107305884361	749	794	0.0189349111169577	2535	CD4 T cells	1.91159597064266	0	0
SeuratProject	703.465968251228	713	751	0.0268096514046192	1865	CD4 T cells	2.22494176441502	0	0
SeuratProject	325.21731197834	340	365	0.0419753082096577	810	CD4 T cells	3.72325824040887	1	1
SeuratProject	861.452374339104	901	946	0.0136612020432949	2196	CD4 T cells	1.1401493473914	0	0
SeuratProject	754.907909274101	725	771	0.0235137529671192	2254	CD4 T cells	2.17050932048436	0	0
SeuratProject	772.736053347588	782	823	0.00986679829657078	2027	CD4 T cells	1.10324364297539	1	1
SeuratProject	790.971405386925	787	836	0.0216989833861589	2166	CD4 T cells	1.840578213301	0	0
SeuratProject	597.346215844154	608	640	0.0149253727868199	1541	CD4 T cells	1.51740443353941	0	0
SeuratProject	796.459673047066	765	815	0.0189897455275059	2633	CD4 T cells	1.82618121618382	1	1
SeuratProject	808.418287754059	816	865	0.0137867648154497	2176	CD4 T cells	1.42511542198996	0	0
SeuratProject	742.626039743423	731	761	0.01626842841506	1967	CD4 T cells	1.49677333840503	1	1
SeuratProject	693.139806985855	672	717	0.0192043893039227	2187	CD4 T cells	2.12652186895404	1	1
SeuratProject	754.424760341644	724	774	0.0156316012144089	2367	CD4 T cells	1.73294434541441	7	7
SeuratProject	794.461674809456	800	835	0.0192043893039227	2187	CD4 T cells	1.65887444927695	0	0
SeuratProject	650.241323232651	636	669	0.0266075395047665	1804	CD4 T cells	2.12868653065657	1	1
SeuratProject	894.146639347076	896	942	0.0137596111744642	2471	CD4 T cells	1.33558710340207	1	1
SeuratProject	770.970727443695	750	792	0.0239418558776379	2339	CD4 T cells	2.11098799689558	7	7
SeuratProject	1038.78886604309	986	1043	0.017006803303957	3528	CD4 T cells	1.24873562665062	0	0
SeuratProject	760.17030954361	748	793	0.0166516657918692	2222	CD4 T cells	1.60675058234883	1	1
SeuratProject	780.106462717056	774	821	0.00555812893435359	2159	CD4 T cells	0.814774394978618	1	1
SeuratProject	1123.1690839529	1094	1141	0.0208205748349428	3266	CD4 T cells	1.53592133685829	0	0
SeuratProject	456.678999900818	451	470	0.029126213863492	1236	CD4 T cells	2.84768256372575	1	1
SeuratProject	1606.88452196121	1547	1739	0.017435897141695	5850	CD4 T cells	1.42976131731395	0	0
SeuratProject	866.752551436424	838	888	0.0192657224833965	2751	CD4 T cells	1.78628908141048	1	1
SeuratProject	587.286596298218	576	605	0.0229191798716784	1658	CD4 T cells	2.36957361665799	7	7
SeuratProject	717.978130698204	679	716	0.0226480830460787	2296	CD4 T cells	2.06367438006468	7	7
SeuratProject	873.879932761192	882	927	0.00919632147997618	2501	CD4 T cells	0.957913148764573	0	0
SeuratProject	708.077642440796	688	718	0.013030887581408	2072	CD4 T cells	1.51316992547376	1	1
SeuratProject	693.592595219612	726	749	0.0176399033516645	1644	CD4 T cells	1.59998971709215	0	0
SeuratProject	425.176162242889	424	455	0.0121951214969158	1148	CD4 T cells	1.71044360376859	1	1
SeuratProject	753.511056303978	717	755	0.0114020267501473	2368	CD4 T cells	1.59298523347246	1	1
SeuratProject	949.789075136185	916	960	0.0173217859119177	3002	CD4 T cells	1.73111245149234	0	0
SeuratProject	602.955629467964	588	624	0.0215664021670818	1762	CD4 T cells	2.45528979800626	1	1
SeuratProject	1078.58015906811	1027	1088	0.00999444723129272	3602	CD4 T cells	1.14479876371251	0	0
SeuratProject	946.005764603615	907	966	0.0107460850849748	3257	CD4 T cells	1.25240212736754	0	0
SeuratProject	476.158320426941	459	478	0.0413744747638702	1426	CD4 T cells	3.60645404174163	1	1
SeuratProject	768.754652142525	762	808	0.0130220027640462	2227	CD4 T cells	1.46488643007466	1	1
SeuratProject	977.430148720741	955	1007	0.0297161936759949	2995	CD4 T cells	2.14891747976409	0	0
SeuratProject	792.235528349876	779	805	0.0127853881567717	2190	CD4 T cells	1.4823921485833	0	0
SeuratProject	939.419999480247	914	962	0.0271477662026882	2910	CD4 T cells	2.03586360046891	7	7
SeuratProject	657.195967912674	638	676	0.0238336715847254	1972	CD4 T cells	2.31863019101084	1	1
SeuratProject	837.186925649643	838	884	0.0158254913985729	2338	CD4 T cells	1.28988624317471	7	7
SeuratProject	578.403294324875	570	587	0.0191570874303579	1566	CD4 T cells	2.12361063090864	0	0
SeuratProject	837.174258828163	819	876	0.019770659506321	2529	CD4 T cells	1.87022707690638	1	1
SeuratProject	958.601809978485	881	923	0.0150880133733153	3579	CD4 T cells	1.68413875514676	0	0
SeuratProject	764.341953158379	748	782	0.0482180304825306	2385	CD4 T cells	2.04803634457831	0	0
SeuratProject	878.303676009178	884	929	0.00840336177498102	2499	CD4 T cells	0.993190801073413	1	1
SeuratProject	878.375266432762	898	944	0.0226151309907436	2432	CD4 T cells	1.89611557381706	1	1
SeuratProject	570.272753238678	574	599	0.0209359601140022	1624	CD4 T cells	2.24762201223114	1	1
SeuratProject	842.111144781113	827	880	0.00916030537337065	2620	CD4 T cells	1.13217377857719	1	1
SeuratProject	875.986800789833	905	975	0.00914235971868038	2297	CD4 T cells	1.00926342466027	0	0
SeuratProject	725.241761445999	715	756	0.0185528751462698	2156	CD4 T cells	1.87279850630459	1	1
SeuratProject	707.04759645462	737	772	0.0237543452531099	1726	CD4 T cells	1.88365696108029	0	0
SeuratProject	976.411766767502	937	979	0.0174555219709873	2979	CD4 T cells	1.70758169409332	0	0
SeuratProject	842.679830431938	815	854	0.0179663617163897	2616	CD4 T cells	1.81623943535062	0	0
SeuratProject	1138.76503264904	1088	1146	0.0107296137139201	3728	CD4 T cells	1.20603164813035	0	0
SeuratProject	723.94697868824	700	741	0.0145785873755813	2195	CD4 T cells	1.52473030859644	1	1
SeuratProject	886.099761843681	848	914	0.0428228862583637	2919	CD4 T cells	2.67789765708508	7	7
SeuratProject	948.708428621292	922	967	0.0259740259498358	3003	CD4 T cells	1.91922799522564	0	0
SeuratProject	704.527833819389	678	704	0.0166898462921381	2157	CD4 T cells	1.78024427633655	1	1
SeuratProject	898.907369971275	860	919	0.0267771761864424	3137	CD4 T cells	2.17230648332932	7	7
SeuratProject	779.453230023384	777	803	0.0141843967139721	2115	CD4 T cells	1.59039207824245	0	0
SeuratProject	536.209111571312	513	540	0.0195214115083218	1588	CD4 T cells	2.02037681970575	1	1
SeuratProject	498.895330429077	500	519	0.0125097734853625	1279	CD4 T cells	1.63318169279139	0	0
SeuratProject	1013.50468993187	1035	1090	0.0164424516260624	2676	CD4 T cells	1.20370949598634	0	0
SeuratProject	690.966639399529	719	762	0.0147142047062516	1767	CD4 T cells	1.46672773331696	1	1
SeuratProject	690.190349698067	667	698	0.0161673799157143	2103	CD4 T cells	1.88715636682084	7	7
SeuratProject	760.273762345314	726	749	0.0163283310830593	2266	CD4 T cells	1.78408993925168	1	1
SeuratProject	756.317130327225	728	770	0.0151582704856992	2243	CD4 T cells	1.61866118428369	0	0
SeuratProject	858.738038897514	847	898	0.0193974412977695	2423	CD4 T cells	1.70693795497533	0	0
SeuratProject	771.109864354134	723	757	0.0209651906043291	2528	CD4 T cells	2.06633228729471	1	1
SeuratProject	851.742413520813	825	881	0.0145903481170535	2673	CD4 T cells	1.57418054828276	7	7
SeuratProject	779.261271119118	776	808	0.018973695114255	2319	CD4 T cells	1.83460104955866	1	1
SeuratProject	1666.72285175323	1598	1703	0.0295471996068954	5212	CD4 T cells	1.18114781196447	0	0
SeuratProject	778.298924565315	748	786	0.0206321328878403	2278	CD4 T cells	1.99279188386439	7	7
SeuratProject	595.57594370842	601	638	0.0361757092177868	1548	CD4 T cells	3.00865455608848	7	7
SeuratProject	761.18304169178	763	816	0.0163861829787493	2258	CD4 T cells	1.60871862720614	1	1
SeuratProject	746.338235855103	770	805	0.00691857375204563	1879	CD4 T cells	0.920083283409301	1	1
SeuratProject	748.782129049301	765	807	0.0278481021523476	1975	CD4 T cells	2.11407445211551	7	7
SeuratProject	914.553186655045	921	977	0.0132375191897154	2644	CD4 T cells	1.26280951231179	0	0
SeuratProject	836.06059384346	827	886	0.0239425376057625	2506	CD4 T cells	1.90797328107625	0	0
SeuratProject	682.643060207367	676	725	0.0161861404776573	1977	CD4 T cells	1.82126365654566	1	1
SeuratProject	1173.81039345264	1120	1187	0.0111057460308075	4142	CD4 T cells	1.18472067823442	0	0
SeuratProject	829.905463337898	781	814	0.0278189908713102	2696	CD4 T cells	2.25368269096485	0	0
SeuratProject	768.001380801201	755	806	0.00795053038746119	2264	CD4 T cells	1.142768245705	1	1
SeuratProject	821.684396147728	821	864	0.0205192621797323	2388	CD4 T cells	1.66951184351179	1	1
SeuratProject	449.920258760452	438	463	0.00664451811462641	1204	CD4 T cells	1.10459870390251	1	1
SeuratProject	645.480965256691	632	663	0.0215517245233059	1856	CD4 T cells	2.09504949077489	1	1
SeuratProject	833.271789312363	798	860	0.0131099782884121	2746	CD4 T cells	1.54897696327279	1	1
SeuratProject	425.940964341164	445	464	0.0080240722745657	997	CD4 T cells	1.09924418696803	0	0
SeuratProject	747.814132809639	751	788	0.0161211527884007	2047	CD4 T cells	1.85397684247601	1	1
SeuratProject	694.505889773369	744	781	0.0447482913732529	1609	CD4 T cells	2.72712859612346	1	1
SeuratProject	718.888128876686	720	749	0.0147565174847841	2033	CD4 T cells	1.5302100690462	0	0
SeuratProject	781.742485404015	759	788	0.0137484837323427	2473	CD4 T cells	1.45115181036588	1	1
SeuratProject	432.762178301811	413	431	0.0233968812972307	1154	CD4 T cells	2.42609981911189	1	1
SeuratProject	732.353600502014	764	801	0.0165975112468004	1928	CD4 T cells	1.58194515369205	0	0
SeuratProject	929.870316386223	895	944	0.00967853423207998	2893	CD4 T cells	1.02971171657713	0	0
SeuratProject	703.978943109512	725	766	0.0147991543635726	1892	CD4 T cells	1.5420798533852	1	1
SeuratProject	767.837513804436	745	776	0.0163453482091427	2386	CD4 T cells	1.75753000990208	1	1
SeuratProject	951.613252043724	916	967	0.0126751167699695	2998	CD4 T cells	1.39955504404392	1	1
SeuratProject	1004.76512265205	942	986	0.012275192886591	3503	CD4 T cells	1.31808518359065	0	0
SeuratProject	609.362487435341	596	625	0.00877192988991737	1824	CD4 T cells	1.09028532363078	1	1
SeuratProject	1107.47839653492	1111	1168	0.0166515298187733	3303	CD4 T cells	1.31938792280769	0	0
SeuratProject	444.976855993271	469	491	0.0316518284380436	1011	CD4 T cells	2.64331903077687	4	4
SeuratProject	577.301855444908	551	581	0.0194730814546347	1746	CD4 T cells	2.45278112967276	1	1
SeuratProject	784.266241192818	794	842	0.0157517902553082	2095	CD4 T cells	1.52271085676968	1	1
SeuratProject	564.769805312157	560	595	0.0232858993113041	1546	CD4 T cells	2.0521434673616	1	1
SeuratProject	787.283742070198	786	811	0.00761990156024694	2231	CD4 T cells	1.08485788677563	0	0
SeuratProject	740.013583660126	710	754	0.0185873601585627	2421	CD4 T cells	1.91385730211608	7	7
SeuratProject	890.183490514755	841	872	0.00944716576486826	2858	CD4 T cells	1.1835323922334	0	0
SeuratProject	511.370342254639	531	558	0.0229357797652483	1308	CD4 T cells	2.14154532636042	4	4
SeuratProject	928.704246282578	898	948	0.0271433293819427	3021	CD4 T cells	1.76993510203811	0	0
SeuratProject	859.003657341003	896	946	0.00574988033622503	2087	CD4 T cells	0.706449338545246	7	7
SeuratProject	888.694723129272	854	904	0.0293501056730747	2862	CD4 T cells	2.24876027451209	0	0
SeuratProject	849.60579252243	802	841	0.0194647200405598	2877	CD4 T cells	1.84358580889692	1	1
SeuratProject	549.789195418358	569	606	0.024372760206461	1395	CD4 T cells	2.01433690391115	1	1
SeuratProject	664.283384680748	638	666	0.0177033487707376	2090	CD4 T cells	1.93921305991374	1	1
SeuratProject	708.888639211655	695	726	0.00536585366353393	2050	CD4 T cells	0.89662993031748	1	1
SeuratProject	903.617874383926	883	940	0.0366815216839314	2917	CD4 T cells	2.38861939076754	7	7
SeuratProject	624.589181542397	621	653	0.0287425145506859	1670	CD4 T cells	2.5124033225571	0	0
SeuratProject	983.607948660851	947	1010	0.0233301371335983	3129	CD4 T cells	1.70165025700974	1	1
SeuratProject	959.227432012558	947	986	0.0144144147634506	2775	CD4 T cells	1.41111443540697	0	0
SeuratProject	988.68499481678	978	1039	0.00610790634527802	2947	CD4 T cells	0.904876167848222	1	1
SeuratProject	791.160819292068	764	813	0.0346598215401173	2337	CD4 T cells	2.00191686699734	0	0
SeuratProject	760.455534219742	746	775	0.00553662702441216	2348	CD4 T cells	0.956321329069431	1	1
SeuratProject	785.453310012817	784	819	0.0122061483561993	2212	CD4 T cells	1.35012518220299	0	0
SeuratProject	734.222079873085	707	735	0.0167832169681787	2145	CD4 T cells	1.86282824444957	0	0
SeuratProject	908.660526990891	889	943	0.0222799852490425	2693	CD4 T cells	1.8465333756274	0	0
SeuratProject	624.378457069397	612	638	0.026887871325016	1748	CD4 T cells	2.52652647129787	0	0
SeuratProject	903.381089687347	871	922	0.0202972088009119	2759	CD4 T cells	1.82320667013357	0	0
SeuratProject	953.702370285988	878	934	0.0138737754896283	3676	CD4 T cells	1.28069735120628	7	7
SeuratProject	767.011665225029	750	786	0.0183570440858603	2179	CD4 T cells	1.81702678406317	0	0
SeuratProject	689.825333833694	667	701	0.0268614515662193	2122	CD4 T cells	2.42152328602608	1	1
SeuratProject	681.954972982407	655	692	0.0267430748790503	2094	CD4 T cells	2.57966773192164	1	1
SeuratProject	787.033174395561	744	780	0.0106382975354791	2444	CD4 T cells	1.12595427317468	0	0
SeuratProject	798.828273177147	791	838	0.0184859149158001	2272	CD4 T cells	1.55989732977125	0	0
SeuratProject	489.037526369095	497	529	0.0292347371578217	1163	CD4 T cells	2.66660916718331	1	1
SeuratProject	695.161512613297	684	728	0.0212765950709581	1974	CD4 T cells	1.92496936517758	1	1
SeuratProject	759.005779385567	753	800	0.0165822207927704	2171	CD4 T cells	1.60959168469726	1	1
SeuratProject	841.081874132156	808	852	0.0112866815179586	2658	CD4 T cells	1.29436735244464	7	7
SeuratProject	735.728388428688	711	744	0.0160403307527304	2182	CD4 T cells	1.74770991073551	1	1
SeuratProject	578.712244749069	514	542	0.0300937350839376	2027	CD4 T cells	2.62958689889127	0	0
SeuratProject	660.65175485611	669	696	0.0165775399655104	1870	CD4 T cells	1.90277492064995	1	1
SeuratProject	823.119884848595	819	872	0.0163672659546137	2505	CD4 T cells	1.32383382827448	1	1
SeuratProject	1140.98797881603	1086	1150	0.0132315522059798	3930	CD4 T cells	1.39059772095116	0	0
SeuratProject	1019.75000226498	974	1026	0.0216647665947676	3508	CD4 T cells	1.9414163931193	7	7
SeuratProject	453.656251430511	464	479	0.013761468231678	1090	CD4 T cells	1.60306365202734	0	0
SeuratProject	705.790358662605	689	727	0.017326733097434	2020	CD4 T cells	1.96114884462928	1	1
SeuratProject	881.973747968674	864	907	0.00833965092897415	2638	CD4 T cells	1.09435736148934	1	1
SeuratProject	809.901759982109	799	832	0.0272609256207943	2311	CD4 T cells	2.14617685887709	1	1
SeuratProject	847.110651731491	846	899	0.0211019925773144	2559	CD4 T cells	1.93313317128964	1	1
SeuratProject	735.189522504807	722	753	0.0127058820798993	2125	CD4 T cells	1.38896979023135	0	0
SeuratProject	888.17817902565	859	901	0.0366236492991447	2867	CD4 T cells	2.1505844723674	7	7
SeuratProject	931.126786708832	907	952	0.0201809331774712	2874	CD4 T cells	1.88468728163521	0	0
